Qualification Code,Qualification Title,Qualification Status,Currency Period Start Date,Currency Period End Date,Extent,Scope Start Date,Scope End Date,NSW Delivery Approved,VIC Delivery Approved,QLD Delivery Approved,SA Delivery Approved,WA Delivery Approved,TAS Delivery Approved,NT Delivery Approved,ACT Delivery Approved,International Delivery Approved,Organisation Code,Legal Name,Business name(s),RTO Status,Registration Manager,Legal authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office location state,Latitude,Longitude,RTO Type,ABN,ACN,URL,CEO Contact Name,CEO Email,CEO Mobile,CEO Phone,Public Enquiries Contact name,Public Enquiries Contact role job title,Public Enquiries Group name,Public Enquiries Organisation,Public Enquiries Email,Public Enquiries Mobile,Public Enquiries Phone,Registration Enquiries contact name,Registration Enquiries Contact role job title,Registration Enquiries Email,Registration Enquiries Mobile,Registration Enquiries Phone,Current Restriction/Regulatory Decision
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,20/07/2031,True,False,False,False,False,False,False,True,False,0101,Canberra Institute of Technology,Canberra Institute of Technology;CIT Solutions,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1993,21/07/2024,20/07/2031,,"36 Bradley Street, PHILLIP, ACT, 2606",Australian Capital Territory,-35.346498,149.087247,"Technical And Further Education Institute, Skills Institute Or Polytechnic",43273796990,,http://www.cit.edu.au,Ms Margot McNeill,CITOfficeoftheChiefExecutive@cit.edu.au,,(02)62073107,,,CIT Information,Canberra Institute of Technology,infoline@cit.edu.au,,0262073188,Ms Sheree Billingham,Accreditation Manager,citcee@cit.edu.au,,0262074186,True
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,28/02/2032,True,False,False,True,False,False,False,False,False,0137,ASHT Pty Ltd,Alliance College,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,22/11/2002,01/03/2025,28/02/2032,,"Level 2/ 97  Pirie Street, Adelaide, SA, 5000",South Australia,-34.9258,138.60342,Education/training Business Or Centre: Privately Operated Registered Training Organisation,71080736456,080736456,https://alliancecollege.edu.au/,Mr Lei Fa,ray@alliancecollege.edu.au,,0882231818,Mr Ben Mayne,Chief Operating Officer,,ASHT Pty Ltd,ben@alliancecollege.edu.au,,0882231818,Ms Eva Yang,Principal Executive Officer,eva@alliancecollege.edu.au,,0882231818,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,29/10/2029,False,True,False,False,False,False,False,False,False,0260,Chisholm Institute,CHISHOLM INSTITUTE;CHISHOLM INSTITUTE OF TAFE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,21/08/1998,30/10/2022,29/10/2029,,"121 Stud Road, Dandenong, VIC, 3175",Victoria,-37.97544,145.22237,"Technical And Further Education Institute, Skills Institute Or Polytechnic",65335795326,,http://www.chisholm.edu.au/,Mr Stephen Varty,stephen.varty@chisholm.edu.au,0417007388,392125331,Client Services Information,VET General Enquiries,,Chisholm Institute,enquiries@chisholm.edu.au,1300244746,1300244746,Mr. Peter Smith,"Academic Registrar, Academic Administration",registrar@chisholm.edu.au,1300244746,1300244746,True
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,30/06/2026,True,True,True,True,True,True,True,True,False,0275,TAFE Queensland,TAFE QUEENSLAND,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1998,01/11/2019,30/06/2026,,"1030 Cavendish Rd, MOUNT GRAVATT EAST, QLD, 4122",Queensland,-27.52597,153.09173,"Technical And Further Education Institute, Skills Institute Or Polytechnic",72898805093,,https://tafeqld.edu.au/,Mr John Tucker,john.tucker@tafeqld.edu.au,0407111226,0732440215,,,Customer Services TAFE Queensland,TAFE Queensland,enquiries@tafeqld.edu.au,1300308233,1300308233,Mr Gerry Amos,Acting Executive Director Vocational Education & RTO Manager,gerry.amos@tafeqld.edu.au,,+61417739517,True
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,20/09/2025,True,True,True,True,True,True,True,True,False,0373,Charles Darwin University,CDU BOOKSHOP;CDU Child Care Centre;CDU Northern Editions;CDU PRess;CENTRE FOR YOUTH MUSIC;CHARLES DARWIN UNIVERSITY FOUNDATION;DESERT LANTERN RESTAURANT;EDTRAVEL NORTHERN TERRITORY;IH Darwin;International House Darwin;KARAWA RESTAURANT;NORTH FLINDERS INTERNATIONAL HOUSE;NORTHERN TERRITORY RURAL COLLEGE;TERRITORY FM;TRAINING SOLUTIONS;UNIPRINT NT,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/02/1992,21/09/2018,20/09/2025,,"Ellengowan Drive, Casuarina, NT, 0810",Northern Territory,-12.36556,130.8743,University - Government,54093513649,,http://www.cdu.edu.au,Prof Scott Bowman,vc@cdu.edu.au,,089466040,CDU Reception,Student Central,,Charles Darwin University,student.central@cdu.edu.au,,1800061963,Mrs. Natasha McCrae,Team Leader Accreditation and Registration,natasha.mccrae@cdu.edu.au,,0889467775,True
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,06/06/2031,False,False,False,False,False,False,True,False,False,0381,Top End Group Training Pty Ltd,GTNT Group;Institute of Skills and Training Australia;TOP END GROUP TRAINING PTY LTD,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,01/01/1999,07/06/2024,06/06/2031,,"38 Woods Street, Darwin, NT, 0800",Northern Territory,-12.46111,130.84426,Education/training Business Or Centre: Privately Operated Registered Training Organisation,50009648337,009648337,http://www.gtnt.com.au,Mrs Kathryn Stenson,kathryn.stenson@gtnt.com.au,0412671733,0889800600,Mr. Shaun Stenson,RTO Manager,,Top End Group Training Pty Ltd,shaun.stenson@skillsandtraining.com.au,0408814701,0889800600,Mr. Shaun Stenson,RTO Manager,shaun.stenson@skillsandtraining.com.au,0408814701,0889800600,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,30/06/2029,False,True,False,False,False,False,False,False,False,0416,Holmesglen Institute,Centre for Applied Research and Innovation;Holmesglen Centre for Applied Research and Innovation;HOLMESGLEN INSTITUTE;HOLMESGLEN INSTITUTE OF TAFE;Holmesglen Institute of Technology;Mackenzie Research Institute;The Melbourne Tunneling and Construction Centre;The Tunneling and Civil Construction Academy;The Victorian Tunneling Centre,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,21/06/1996,01/07/2022,30/06/2029,,"1 Batesford Road, Chadstone, VIC, 3148",Victoria,-37.87537,145.0922,"Technical And Further Education Institute, Skills Institute Or Polytechnic",40096756729,,http://www.holmesglen.edu.au,Ms Mary Faraone,Mary.Faraone@holmesglen.edu.au,0400000000,0395641503,,,Course Information,Holmesglen Institute,info@holmesglen.edu.au,0395641555,0395641555,Ms. Therese Hickey,"Executive Officer, Quality and Education Compliance",therese.hickey@holmesglen.edu.au,0418995837,0418995837,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,30/10/2026,True,True,True,True,True,True,True,True,False,1036,The Quality Training and Hospitality College Pty Ltd,Quality College of Australia,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,07/11/2001,31/10/2019,30/10/2026,,"Suite 3, Level 1, 8 Greenhill Road, Wayville, SA, 5034",South Australia,-34.94261,138.58528,Education/training Business Or Centre: Privately Operated Registered Training Organisation,71062309755,062309755,https://www.qca.edu.au/,Mr Richard Finlayson,rf@qca.edu.au,406532879,1300511888,Miss Danielle Perisco,Operations Director,,The Quality Training and Hospitality College Pty Ltd,danielle@qca.edu.au,0419866071,1300511888,Miss Danielle Perisco,Operations Director,danielle@qca.edu.au,0419866071,1300511888,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,16/11/2029,False,False,True,False,False,False,False,False,False,110080,Frontier Leadership Pty Ltd,Frontier Education,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,17/11/2010,17/11/2022,16/11/2029,,"Level 4, 445 Upper Edward Street, Spring Hill, QLD, 4000",Queensland,-27.46359,153.02482,Education/training Business Or Centre: Privately Operated Registered Training Organisation,71141901975,141901975,http://www.frontiereducation.edu.au,Ms Yu Wen Hsu,landy@frontiereducation.edu.au,0411240972,1800680140,,,Frontier Education,Frontier Leadership Pty Ltd,info@frontiereducation.edu.au,,1800680140,Ms Yu Wen Hsu,Chief Executive Officer,landy@frontiereducation.edu.au,0411240972,1800680140,False
SIT40521,Certificate IV in Kitchen Management,Current,10/06/2022,,Deliver and assess,10/06/2022,30/05/2030,True,True,False,False,False,False,False,False,False,121748,Kordon Training Management Systems Pty Ltd,KORDON TRAINING MANAGEMENT SYSTEMS PTY LTD,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,16/02/2006,31/05/2023,30/05/2030,,"12 Benwerrin Ave, CARSS PARK, NSW, 2221",New South Wales,-33.98417,151.11769,Education/training Business Or Centre: Privately Operated Registered Training Organisation,77091038425,091038425,http://www.kit.edu.au/,Ms. Ritu Vaidhya Shrestha,ceo@kit.edu.au,0431064349,1300548000,Ms. Ritu Vaidhya Shrestha,CEO,,Kordon Training Management Systems Pty Ltd,ritu.vaidhya@kit.edu.au,431064349,1300548000,Ms. Ritu Vaidhya Shrestha,CEO,ceo@kit.edu.au,0431064349,1300548000,False
