Organisation_Code,Legal_Name,Is_RTO,Status,Registration_Manager,Legal_Authority,Head_Office_Physical_Address,Head_Office_Location_State,Latitude,Longitude,RTO_Type,NSW_Delivery_Approved,VIC_Delivery_Approved,QLD_Delivery_Approved,SA_Delivery_Approved,WA_Delivery_Approved,TAS_Delivery_Approved,NT_Delivery_Approved,ACT_Delivery_Approved
1,Office of the Student Identifiers Registrar,TRUE,Current,TVET Australia,Office of the Student Identifiers Registrar,"50 Marcus Clarke Street, Canberra, ACT, 2600",Australian Capital Territory,-35.27742,149.12671,Other – Not Elsewhere Classified,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Adelaide Training and Employment Centre Inc,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"275 Grand Junction Road, Ottoway, SA, 5013",South Australia,-34.8504,138.54116,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49,Australian Institute of Management Education and Training Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ground Floor 7-15 Macquarie Pl, SYDNEY, NSW, 2000",New South Wales,-33.86274,151.20983,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"76 Birkdale Street, Floreat, WA, 6014",Western Australia,-31.94718,115.80264,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,The University of Notre Dame Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"88 Guy Street, Broome, WA, 6725",Western Australia,-17.96128,122.22402,University - Non-Government Catholic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,Heather Langton Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Ground Floor 145 South Tce, ADELAIDE, SA, 5000",South Australia,-34.93533,138.59916,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
95,Cairns Business College Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"Level 38 71 Eagle St, BRISBANE CITY, QLD, 4000",Queensland,-27.4684,153.03021,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
101,Canberra Institute of Technology,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"36 Bradley Street, PHILLIP, ACT, 2606",Australian Capital Territory,-35.346498,149.087247,"Technical And Further Education Institute, Skills Institute Or Polytechnic",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
104,Career Employment Australia Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"29 Cambridge Street, Coorparoo, QLD, 4151",Queensland,-27.48831,153.05406,Community Based Adult Education Provider,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
109,Australian College of the Arts Pty Ltd,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,"208-224 Wellington St, COLLINGWOOD, VIC, 3066",Victoria,-37.80232,144.98701,Education/training Business Or Centre: Privately Operated Registered Training Organisation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
