Organisation_Code,Legal Name,Business Name(s),Is RTO,Status,Registration Manager,Legal Authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office Location State,Latitude,Longitude,VET Org Role,RTO Type,ABN,ACN
1,Office of the Student Identifiers Registrar,,TRUE,Current,TVET Australia,Office of the Student Identifiers Registrar,41948,41948,,,"50 Marcus Clarke Street, Canberra, ACT, 2600",Australian Capital Territory,-35.27742,149.12671,,Other – Not Elsewhere Classified,12862898150,
22,Adelaide Training and Employment Centre Inc,ATEC - ADELAIDE TRAINING & EMPLOYMENT CENTRE;ATEC - Group Training,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,37922,43401,45957,,"275 Grand Junction Road, Ottoway, SA, 5013",South Australia,-34.8504,138.54116,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,58209574933,
49,Australian Institute of Management Education and Training Pty Ltd,AIM VET,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,35796,45291,47848,,"Ground Floor 7-15 Macquarie Pl, SYDNEY, NSW, 2000",New South Wales,-33.86274,151.20983,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,40009668553,9668553
58,Australian Institute of Management-Western Australian Human Resource Development Centre Limited,Australian Institute of Leadership & Management;AUSTRALIAN INSTITUTE OF MANAGEMENT HUMAN RESOURCE DEVELOPMENT CENTRE INC,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,36027,45535,48090,,"76 Birkdale Street, Floreat, WA, 6014",Western Australia,-31.94718,115.80264,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,98928669029,625549466
64,The University of Notre Dame Australia,The University of Notre Dame Australia,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,34675,43617,46173,,"88 Guy Street, Broome, WA, 6725",Western Australia,-17.96128,122.22402,,University - Non-Government Catholic,69330643210,
80,Heather Langton Pty Ltd,Bower Training and Education,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,37651,45839,48395,,"Ground Floor 145 South Tce, ADELAIDE, SA, 5000",South Australia,-34.93533,138.59916,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,97077771174,77771174
95,Cairns Business College Pty Ltd,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,35796,45307,47863,,"Level 38 71 Eagle St, BRISBANE CITY, QLD, 4000",Queensland,-27.4684,153.03021,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,24010113425,10113425
101,Canberra Institute of Technology,Canberra Institute of Technology;CIT Solutions,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,33970,45494,48049,,"36 Bradley Street, PHILLIP, ACT, 2606",Australian Capital Territory,-35.346498,149.087247,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",43273796990,
104,Career Employment Australia Ltd,CAREER EMPLOYMENT AUSTRALIA INCORPORATED,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,35796,45526,48081,,"29 Cambridge Street, Coorparoo, QLD, 4151",Queensland,-27.48831,153.05406,,Community Based Adult Education Provider,65650875007,613305098
109,Australian College of the Arts Pty Ltd,AUSMUSIC;AUSMUSIC LTD;AUSTRALIAN COLLEGE OF THE ARTS;COLLARTS;mercer school of interior design,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,34001,44774,47330,,"208-224 Wellington St, COLLINGWOOD, VIC, 3066",Victoria,-37.80232,144.98701,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,96082799282,82799282
